PID,x0,xf,E0,Ef
0,-0.379583,-881867,100,99.9999
1,-0.379583,-881868,100,99.9999
2,-0.379583,-881868,100,99.9999
3,-0.379583,-881868,100,99.9999
4,-0.379583,-881866,100,99.9999
5,-0.379583,-881867,100,99.9999
6,-0.379583,-881868,100,99.9999
7,-0.379583,-881867,100,99.9999
8,-0.379583,-881868,100,99.9999
9,-0.379583,-881868,100,99.9999
10,-0.379583,-881866,100,99.9999
11,-0.379583,-881868,100,99.9999
12,-0.379583,-881867,100,99.9999
13,-0.379583,-881867,100,99.9999
14,-0.379583,-881867,100,99.9999
15,-0.379583,-881868,100,99.9999
16,-0.379583,-881868,100,99.9999
17,-0.379583,-881867,100,99.9999
18,-0.379583,-881869,100,99.9999
19,-0.379583,-881867,100,99.9999
20,-0.379583,-881868,100,99.9999
21,-0.379583,-881868,100,99.9999
22,-0.379583,-881868,100,99.9999
23,-0.379583,-881867,100,99.9999
24,-0.379583,-881868,100,99.9999
25,-0.379583,-881868,100,99.9999
26,-0.379583,-881866,100,99.9999
27,-0.379583,-881867,100,99.9999
28,-0.379583,-881867,100,99.9999
29,-0.379583,-881869,100,99.9999
30,-0.379583,-881867,100,99.9999
31,-0.379583,-881867,100,99.9999
32,-0.379583,-881866,100,99.9999
33,-0.379583,-881867,100,99.9999
34,-0.379583,-881868,100,99.9999
35,-0.379583,-881868,100,99.9999
36,-0.379583,-881868,100,99.9999
37,-0.379583,-881868,100,99.9999
38,-0.379583,-881867,100,99.9999
39,-0.379583,-881866,100,99.9999
40,-0.379583,-881867,100,99.9999
41,-0.379583,-881868,100,99.9999
42,-0.379583,-881867,100,99.9999
43,-0.379583,-881867,100,99.9999
44,-0.379583,-881867,100,99.9999
45,-0.379583,-881866,100,99.9999
46,-0.379583,-881867,100,99.9999
47,-0.379583,-881868,100,99.9999
48,-0.379583,-881867,100,99.9999
49,-0.379583,-881867,100,99.9999
50,-0.379583,-881867,100,99.9999
51,-0.379583,-881867,100,99.9999
52,-0.379583,-881867,100,99.9999
53,-0.379583,-881867,100,99.9999
54,-0.379583,-881868,100,99.9999
55,-0.379583,-881868,100,99.9999
56,-0.379583,-881867,100,99.9999
57,-0.379583,-881867,100,99.9999
58,-0.379583,-881868,100,99.9999
59,-0.379583,-881866,100,99.9999
60,-0.379583,-881867,100,99.9999
61,-0.379583,-881866,100,99.9999
62,-0.379583,-881867,100,99.9999
63,-0.379583,-881868,100,99.9999
64,-0.379583,-881866,100,99.9999
65,-0.379583,-881867,100,99.9999
66,-0.379583,-881868,100,99.9999
67,-0.379583,-881867,100,99.9999
68,-0.379583,-881868,100,99.9999
69,-0.379583,-881867,100,99.9999
70,-0.379583,-881866,100,99.9999
71,-0.379583,-881868,100,99.9999
72,-0.379583,-881867,100,99.9999
73,-0.379583,-881868,100,99.9999
74,-0.379583,-881868,100,99.9999
75,-0.379583,-881868,100,99.9999
76,-0.379583,-881868,100,99.9999
77,-0.379583,-881868,100,99.9999
78,-0.379583,-881868,100,99.9999
79,-0.379583,-881867,100,99.9999
80,-0.379583,-881868,100,99.9999
81,-0.379583,-881868,100,99.9999
82,-0.379583,-881866,100,99.9999
83,-0.379583,-881867,100,99.9999
84,-0.379583,-881868,100,99.9999
85,-0.379583,-881868,100,99.9999
86,-0.379583,-881867,100,99.9999
87,-0.379583,-881868,100,99.9999
88,-0.379583,-881867,100,99.9999
89,-0.379583,-881868,100,99.9999
90,-0.379583,-881867,100,99.9999
91,-0.379583,-881866,100,99.9999
92,-0.379583,-881867,100,99.9999
93,-0.379583,-881867,100,99.9999
94,-0.379583,-881868,100,99.9999
95,-0.379583,-881868,100,99.9999
96,-0.379583,-881867,100,99.9999
97,-0.379583,-881866,100,99.9999
98,-0.379583,-881867,100,99.9999
99,-0.379583,-881868,100,99.9999
100,-0.379583,-881867,100,99.9999
101,-0.379583,-881868,100,99.9999
102,-0.379583,-881868,100,99.9999
103,-0.379583,-881866,100,99.9999
104,-0.379583,-881867,100,99.9999
105,-0.379583,-881867,100,99.9999
106,-0.379583,-881866,100,99.9999
107,-0.379583,-881867,100,99.9999
108,-0.379583,-881867,100,99.9999
109,-0.379583,-881868,100,99.9999
110,-0.379583,-881867,100,99.9999
111,-0.379583,-881867,100,99.9999
112,-0.379583,-881867,100,99.9999
113,-0.379583,-881867,100,99.9999
114,-0.379583,-881868,100,99.9999
115,-0.379583,-881868,100,99.9999
116,-0.379583,-881867,100,99.9999
117,-0.379583,-881867,100,99.9999
118,-0.379583,-881867,100,99.9999
119,-0.379583,-881867,100,99.9999
120,-0.379583,-881867,100,99.9999
121,-0.379583,-881868,100,99.9999
122,-0.379583,-881866,100,99.9999
123,-0.379583,-881867,100,99.9999
124,-0.379583,-881868,100,99.9999
125,-0.379583,-881868,100,99.9999
126,-0.379583,-881867,100,99.9999
127,-0.379583,-881868,100,99.9999
128,-0.379583,-881867,100,99.9999
129,-0.379583,-881867,100,99.9999
130,-0.379583,-881867,100,99.9999
131,-0.379583,-881866,100,99.9999
132,-0.379583,-881868,100,99.9999
133,-0.379583,-881867,100,99.9999
134,-0.379583,-881867,100,99.9999
135,-0.379583,-881867,100,99.9999
136,-0.379583,-881867,100,99.9999
137,-0.379583,-881866,100,99.9999
138,-0.379583,-881867,100,99.9999
139,-0.379583,-881867,100,99.9999
140,-0.379583,-881866,100,99.9999
141,-0.379583,-881866,100,99.9999
142,-0.379583,-881867,100,99.9999
143,-0.379583,-881868,100,99.9999
144,-0.379583,-881866,100,99.9999
145,-0.379583,-881867,100,99.9999
146,-0.379583,-881866,100,99.9999
147,-0.379583,-881867,100,99.9999
148,-0.379583,-881867,100,99.9999
149,-0.379583,-881869,100,99.9999
150,-0.379583,-881867,100,99.9999
151,-0.379583,-881867,100,99.9999
152,-0.379583,-881868,100,99.9999
153,-0.379583,-881868,100,99.9999
154,-0.379583,-881868,100,99.9999
155,-0.379583,-881867,100,99.9999
156,-0.379583,-881868,100,99.9999
157,-0.379583,-881868,100,99.9999
158,-0.379583,-881868,100,99.9999
159,-0.379583,-881867,100,99.9999
160,-0.379583,-881868,100,99.9999
161,-0.379583,-881868,100,99.9999
162,-0.379583,-881867,100,99.9999
163,-0.379583,-881867,100,99.9999
164,-0.379583,-881868,100,99.9999
165,-0.379583,-881867,100,99.9999
166,-0.379583,-881868,100,99.9999
167,-0.379583,-881866,100,99.9999
168,-0.379583,-881868,100,99.9999
169,-0.379583,-881867,100,99.9999
170,-0.379583,-881867,100,99.9999
171,-0.379583,-881868,100,99.9999
172,-0.379583,-881867,100,99.9999
173,-0.379583,-881866,100,99.9999
174,-0.379583,-881866,100,99.9999
175,-0.379583,-881867,100,99.9999
176,-0.379583,-881867,100,99.9999
177,-0.379583,-881868,100,99.9999
178,-0.379583,-881867,100,99.9999
179,-0.379583,-881867,100,99.9999
180,-0.379583,-881867,100,99.9999
181,-0.379583,-881867,100,99.9999
182,-0.379583,-881867,100,99.9999
183,-0.379583,-881867,100,99.9999
184,-0.379583,-881867,100,99.9999
185,-0.379583,-881868,100,99.9999
186,-0.379583,-881868,100,99.9999
187,-0.379583,-881867,100,99.9999
188,-0.379583,-881867,100,99.9999
189,-0.379583,-881866,100,99.9999
190,-0.379583,-881868,100,99.9999
191,-0.379583,-881867,100,99.9999
192,-0.379583,-881868,100,99.9999
193,-0.379583,-881867,100,99.9999
194,-0.379583,-881866,100,99.9999
195,-0.379583,-881868,100,99.9999
196,-0.379583,-881867,100,99.9999
197,-0.379583,-881867,100,99.9999
198,-0.379583,-881866,100,99.9999
199,-0.379583,-881867,100,99.9999
200,-0.379583,-881868,100,99.9999
201,-0.379583,-881866,100,99.9999
