PID,x0,xf,E0,Ef
0,-4555,-100015,3,3.39054
1,-4555,-100017,3,3.03064
2,-4555,-100009,3,3.46636
3,-4555,-100052,3,3.00088
4,-4555,-100017,3,3.11223
5,-4555,-100099,3,3.37248
6,-4555,-100085,3,3.54799
7,-4555,-100042,3,3.07867
8,-4555,-100038,3,3.50916
9,-4555,-100085,3,3.30992
10,-4555,-100033,3,3.42364
11,-4555,-100001,3,3.78502
12,-4555,-100111,3,2.9921
13,-4555,-100057,3,3.48019
14,-4555,-100123,3,3.32686
15,-4555,-100044,3,3.03582
16,-4555,-100065,3,3.14286
17,-4555,-100007,3,3.06531
18,-4555,-100027,3,3.04986
19,-4555,-100122,3,3.1213
20,-4555,-100084,3,3.44465
21,-4555,-100027,3,3.00679
22,-4555,-100013,3,3.6851
23,-4555,-100018,3,3.02924
24,-4555,-100031,3,3.01758
25,-4555,-100094,3,3.04364
26,-4555,-100032,3,2.99993
27,-4555,-100005,3,3.02408
28,-4555,-100088,3,3.00562
29,-4555,-100125,3,2.98992
30,-4555,-100022,3,3.37233
31,-4555,-100061,3,3.0809
32,-4555,-100020,3,3.06683
33,-4555,-100002,3,3.5078
34,-4555,-100028,3,3.18549
35,-4555,-100015,3,3.01354
36,-4555,-100026,3,2.99417
37,-4555,-100165,3,3.44567
38,-4555,-100012,3,3.06045
39,-4555,-100113,3,4.23021
40,-4555,-100053,3,3.45278
41,-4555,-100145,3,2.9949
42,-4555,-100011,3,3.2634
43,-4555,-100047,3,3.03256
44,-4555,-100037,3,3.47287
45,-4555,-100016,3,3.0954
46,-4555,-100012,3,3.75914
47,-4555,-100128,3,3.33033
48,-4555,-100084,3,3.2531
49,-4555,-100100,3,3.19964
50,-4555,-100013,3,3.1379
51,-4555,93133.7,3,3.30759
52,-4555,-100016,3,3.02175
53,-4555,-100077,3,3.2369
54,-4555,-100072,3,3.39251
55,-4555,-100066,3,3.05929
56,-4555,-100036,3,3.36849
57,-4555,-100007,3,3.24223
58,-4555,-100081,3,3.07541
59,-4555,-100000,3,3.31601
60,-4555,-100070,3,3.50425
61,-4555,-100016,3,3.48492
62,-4555,-100058,3,3.62224
63,-4555,-100016,3,3.02416
64,-4555,-100004,3,3.00187
65,-4555,-100010,3,3.2369
66,-4555,-100126,3,3.25797
67,-4555,-100034,3,3.02432
68,-4555,-100079,3,3.09833
69,-4555,-100002,3,3.00411
70,-4555,-100054,3,3.04807
71,-4555,-100031,3,3.08652
72,-4555,-100013,3,3.01533
73,-4555,-100002,3,3.04085
74,-4555,-100007,3,3.41963
75,-4555,-100054,3,3.98861
76,-4555,-100049,3,3.24455
77,-4555,-100018,3,3.03494
78,-4555,-100017,3,3.52852
79,-4555,-100039,3,3.55597
80,-4555,-100042,3,2.9938
81,-4555,-100085,3,3.25254
82,-4555,-100125,3,3.52897
83,-4555,-100100,3,3.69476
84,-4555,-100062,3,3.02486
85,-4555,-100020,3,3.24213
86,-4555,-100049,3,3.51869
87,-4555,-100021,3,3.03437
88,-4555,-100020,3,3.02459
89,-4555,-100044,3,3.32233
90,-4555,38793.8,3,3.24039
91,-4555,-100050,3,4.36308
92,-4555,-100107,3,3.00046
93,-4555,-100027,3,3.04072
94,-4555,-100018,3,2.99609
95,-4555,-100014,3,3.3553
96,-4555,-100011,3,3.06474
97,-4555,34981.2,3,3.56995
98,-4555,-100029,3,3.06186
99,-4555,-100056,3,3.34625
