Step,Bx,By,Bz,Bm
0,0.0403347,0.168441,0.337088,0.378982
1,0.0435392,0.164007,0.341924,0.381714
2,0.0517906,0.165884,0.338998,0.380945
3,0.0635049,0.167766,0.323641,0.37003
4,0.0550684,0.177885,0.326735,0.376073
5,0.0637735,0.185107,0.328478,0.382399
6,0.0582089,0.18021,0.333754,0.383739
7,0.0551804,0.168254,0.336461,0.380211
8,0.0526408,0.175148,0.312055,0.361699
9,0.0665154,0.178763,0.316808,0.369794
10,0.05206,0.177203,0.316453,0.366407
11,0.0426005,0.173596,0.312829,0.360294
12,0.0403853,0.175938,0.316713,0.364544
13,0.0522778,0.181137,0.319271,0.37078
14,0.0398003,0.187265,0.319618,0.372569
15,0.040855,0.187858,0.32175,0.37481
16,0.0371028,0.192591,0.331794,0.385429
17,0.0406066,0.184012,0.335057,0.384412
18,0.0370392,0.167702,0.329951,0.371973
19,0.0463644,0.177007,0.341464,0.3874
20,0.0397171,0.187732,0.34422,0.394091
21,0.0328088,0.193698,0.332564,0.386257
22,0.0336898,0.181427,0.347717,0.393647
23,0.0266869,0.187722,0.358871,0.405882
24,0.0354159,0.193479,0.347307,0.399137
25,0.0265549,0.199997,0.347987,0.402242
26,0.0433258,0.18822,0.355385,0.404478
27,0.037488,0.193511,0.341624,0.39441
28,0.0455027,0.193527,0.344328,0.397599
29,0.0368172,0.196408,0.338629,0.393193
30,0.0297731,0.198999,0.347119,0.401222
31,0.0361415,0.207006,0.347419,0.406026
32,0.0352876,0.206943,0.345987,0.404694
33,0.0266294,0.205457,0.347113,0.404239
34,0.0291526,0.221524,0.343742,0.409978
35,0.0439508,0.227736,0.352811,0.422222
36,0.0454474,0.212351,0.341328,0.404553
37,0.054169,0.213943,0.32867,0.395891
38,0.0520276,0.227444,0.329963,0.40412
39,0.0439137,0.224939,0.336721,0.407316
40,0.040946,0.225086,0.334518,0.405269
41,0.0452893,0.217228,0.339573,0.405647
42,0.0387365,0.215248,0.347314,0.410438
43,0.0549042,0.221995,0.320662,0.393853
44,0.0675923,0.216504,0.331065,0.401306
45,0.0751296,0.212086,0.325665,0.395832
46,0.0833507,0.206585,0.334454,0.401851
47,0.0727564,0.202213,0.330963,0.394614
48,0.0779273,0.202276,0.329145,0.394113
49,0.067842,0.213404,0.346502,0.412562
50,0.0739578,0.199411,0.319055,0.383446
51,0.0770355,0.20274,0.342834,0.405676
52,0.0733388,0.200325,0.348505,0.408613
53,0.0829856,0.197903,0.338689,0.400952
54,0.0844862,0.200718,0.326277,0.392278
55,0.0831292,0.199809,0.312646,0.380239
56,0.0664593,0.20043,0.334279,0.395388
57,0.0555637,0.192414,0.342106,0.396418
58,0.0501743,0.191847,0.348577,0.401034
59,0.0555786,0.202493,0.326365,0.388081
60,0.0657931,0.205787,0.332785,0.396766
61,0.0628631,0.206746,0.343116,0.405493
62,0.0601949,0.195612,0.347804,0.403553
63,0.0655942,0.198961,0.352842,0.410348
64,0.0729835,0.193253,0.340917,0.398619
65,0.0689769,0.2035,0.362673,0.421547
66,0.0654464,0.201057,0.379206,0.434171
67,0.0747085,0.195905,0.391712,0.444296
68,0.0824265,0.189205,0.380962,0.433272
69,0.0882117,0.195905,0.366342,0.424696
70,0.0976283,0.205925,0.372923,0.437044
71,0.0942038,0.191825,0.362974,0.421214
72,0.104866,0.18104,0.374666,0.429123
73,0.0922016,0.187298,0.376864,0.430823
74,0.09598,0.19768,0.372724,0.432681
75,0.0902595,0.193611,0.344974,0.405757
76,0.105178,0.181979,0.350886,0.409024
77,0.100742,0.174556,0.347574,0.401779
78,0.127416,0.164504,0.352212,0.409084
79,0.110665,0.177805,0.325405,0.386975
80,0.119029,0.175872,0.331851,0.393984
81,0.105581,0.171409,0.333432,0.389494
82,0.121587,0.168347,0.343907,0.401742
83,0.110133,0.16745,0.356325,0.408823
84,0.122346,0.167702,0.349643,0.406623
85,0.117747,0.159799,0.350035,0.402399
86,0.111531,0.172897,0.355403,0.410663
87,0.107631,0.177547,0.367138,0.421779
88,0.111653,0.181812,0.377474,0.433599
89,0.114223,0.175214,0.367816,0.423125
90,0.106575,0.18155,0.379419,0.433909
91,0.115047,0.180811,0.37515,0.432049
92,0.12948,0.172434,0.393267,0.448506
93,0.125377,0.159733,0.394997,0.444136
94,0.105217,0.17754,0.399936,0.450045
95,0.107741,0.184714,0.387795,0.442846
96,0.100958,0.174485,0.383662,0.433398
97,0.108603,0.170037,0.37896,0.429323
98,0.1051,0.164975,0.373803,0.421891
99,0.116805,0.163443,0.369603,0.42067
100,0.122351,0.164299,0.373923,0.42636
101,0.111564,0.159763,0.371857,0.419819
102,0.101689,0.155743,0.377158,0.420529
103,0.105546,0.148961,0.370884,0.413381
104,0.114521,0.164336,0.358197,0.410398
105,0.135344,0.142942,0.353931,0.404991
106,0.147288,0.136269,0.370865,0.421668
