PID,x0,xf,E0,Ef
0,-4555,-1.00004e+06,3,3.00563
1,-4555,-1.00003e+06,3,3.0048
2,-4555,100122,3,0.511008
3,-4555,-1.00012e+06,3,2.99963
4,-4555,100069,3,0.511
5,-4555,-1.00001e+06,3,3.03196
6,-4555,100026,3,0.511046
7,-4555,-1.00005e+06,3,2.99388
8,-4555,-1.0001e+06,3,3.05489
9,-4555,-1.00001e+06,3,3.02478
10,-4555,-1.00001e+06,3,3.00491
11,-4555,-1.00003e+06,3,3.11263
12,-4555,100025,3,0.511028
13,-4555,-1.00004e+06,3,3.01786
14,-4555,-1.00004e+06,3,2.99395
15,-4555,100043,3,0.511001
16,-4555,100049,3,0.512001
17,-4555,-1.00017e+06,3,2.99475
18,-4555,100007,3,0.511001
19,-4555,-1.00003e+06,3,3.02085
20,-4555,-1.00006e+06,3,3.01615
21,-4555,100052,3,0.511
22,-4555,100025,3,0.511014
23,-4555,100024,3,0.511069
24,-4555,-1.00009e+06,3,3.02599
25,-4555,100157,3,0.511023
26,-4555,-1.00002e+06,3,3.00289
27,-4555,-1.00002e+06,3,3.01104
28,-4555,100126,3,0.511006
29,-4555,100106,3,0.511002
30,-4555,100054,3,0.512899
31,-4555,100032,3,0.511066
32,-4555,100023,3,0.511116
33,-4555,-1.00006e+06,3,2.99998
34,-4555,-1e+06,3,2.99668
35,-4555,-1.00003e+06,3,3.00452
36,-4555,-1.00007e+06,3,3.04338
37,-4555,-1.00011e+06,3,3.00681
38,-4555,-1.00005e+06,3,2.99159
39,-4555,100134,3,0.511007
40,-4555,-1.00007e+06,3,3.00705
41,-4555,-1.00004e+06,3,3.00525
42,-4555,-1.00006e+06,3,2.99951
43,-4555,100014,3,0.511038
44,-4555,-1.00007e+06,3,2.99984
45,-4555,-1.00007e+06,3,3.02807
46,-4555,-1.00001e+06,3,3.01858
47,-4555,-1.00008e+06,3,3.00506
48,-4555,100178,3,0.51112
49,-4555,-1.00001e+06,3,3.0606
50,-4555,100001,3,0.511001
51,-4555,-1.00013e+06,3,3.08139
52,-4555,100303,3,0.513519
53,-4555,100042,3,0.511016
54,-4555,-1.00002e+06,3,3.14922
55,-4555,100070,3,0.511134
56,-4555,100066,3,0.511004
57,-4555,-1e+06,3,3.03283
58,-4555,-1.00006e+06,3,3.01297
59,-4555,-1.00005e+06,3,3.03276
60,-4555,100191,3,0.511002
61,-4555,-1.00014e+06,3,3.0043
62,-4555,-1.00006e+06,3,3.00849
63,-4555,-1.00009e+06,3,3.03455
64,-4555,-1.00001e+06,3,3.08576
65,-4555,100041,3,0.511065
66,-4555,-1.00011e+06,3,1.23889
67,-4555,-77102.1,3,0.516872
68,-4555,100020,3,0.524263
69,-4555,100149,3,0.512857
70,-4555,-1.00009e+06,3,3.00167
71,-4555,100036,3,0.511005
72,-4555,100127,3,0.511001
73,-4555,100062,3,0.511
74,-4555,100066,3,0.511001
75,-4555,-1.00013e+06,3,3.02743
76,-4555,100305,3,0.511001
77,-4555,100080,3,0.511002
78,-4555,100028,3,0.511096
79,-4555,-1.00016e+06,3,3.04506
80,-4555,-1.00003e+06,3,3.00523
81,-4555,-1.00015e+06,3,3.15092
82,-4555,-1.00006e+06,3,3.14025
83,-4555,-1.00009e+06,3,2.98833
84,-4555,-1.00001e+06,3,3.01149
85,-4555,-1.00004e+06,3,3.03617
86,-4555,-1.00003e+06,3,3.00566
87,-4555,-1.00008e+06,3,2.99557
88,-4555,100165,3,0.525216
89,-4555,100045,3,0.511012
90,-4555,100214,3,0.511109
91,-4555,100148,3,0.51129
92,-4555,100007,3,0.511294
93,-4555,-1.00005e+06,3,3.00613
94,-4555,-1.00009e+06,3,3.02854
95,-4555,100006,3,0.51102
96,-4555,-1.00015e+06,3,2.99849
97,-4555,100092,3,0.511018
98,-4555,100083,3,0.511002
99,-4555,-1.00013e+06,3,2.99715
