PID,x0,xf,E0,Ef
0,-4555,-1.00009e+06,3,3.03205
1,-4555,-1.0001e+06,3,3.00087
2,-4555,-1.00002e+06,3,0.56082
3,-4555,-1.00004e+06,3,2.99533
4,-4555,-1.00007e+06,3,2.99571
5,-4555,-1.00006e+06,3,3.0973
6,-4555,-1.00006e+06,3,3.00011
7,-4555,100079,3,0.511017
8,-4555,100066,3,0.51105
9,-4555,-1.00009e+06,3,3.02409
10,-4555,-1.00008e+06,3,3.01848
11,-4555,-1.00013e+06,3,2.99757
12,-4555,-1.00007e+06,3,2.99079
13,-4555,-1.00002e+06,3,3.01896
14,-4555,-1.00002e+06,3,3.00211
15,-4555,100180,3,0.515085
16,-4555,-1.00011e+06,3,3.01447
17,-4555,-1.00004e+06,3,3.00087
18,-4555,-1.00001e+06,3,2.99119
19,-4555,-1.00005e+06,3,2.99079
20,-4555,-1.00003e+06,3,2.99279
21,-4555,-1.00003e+06,3,3.00339
22,-4555,-1.0001e+06,3,3.00037
23,-4555,100064,3,0.511047
24,-4555,-1.00009e+06,3,3.04559
25,-4555,-1.0001e+06,3,3.0069
26,-4555,100210,3,0.511627
27,-4555,-1.0001e+06,3,2.99503
28,-4555,-1.00013e+06,3,2.99581
29,-4555,-1e+06,3,2.98346
30,-4555,-1.00008e+06,3,3.1435
31,-4555,-1.00003e+06,3,2.98736
32,-4555,-1.00001e+06,3,3.01453
33,-4555,100095,3,0.51102
34,-4555,-1.00007e+06,3,3.05063
35,-4555,-1.00015e+06,3,3.22431
36,-4555,-1.00007e+06,3,2.99817
37,-4555,-1.00007e+06,3,3.00082
38,-4555,-1.00007e+06,3,3.02478
39,-4555,-1.0001e+06,3,2.998
40,-4555,-1.00004e+06,3,3.06466
41,-4555,-1.00009e+06,3,3.09357
42,-4555,-1e+06,3,2.99882
43,-4555,-1.00011e+06,3,3.15794
44,-4555,-1.00006e+06,3,3.00544
45,-4555,100046,3,0.51101
46,-4555,-1.0001e+06,3,3.01117
47,-4555,-1.00006e+06,3,3.0082
48,-4555,-1e+06,3,2.99637
49,-4555,-1.00015e+06,3,3.01919
50,-4555,-1.00016e+06,3,3.02349
51,-4555,-1.00011e+06,3,3.00308
52,-4555,-1.00008e+06,3,2.99437
53,-4555,-1.00014e+06,3,2.99139
54,-4555,-1.00001e+06,3,3.00573
55,-4555,-1.00006e+06,3,3.01261
56,-4555,-1.00006e+06,3,2.98779
57,-4555,-1.00005e+06,3,2.99759
58,-4555,-1.00005e+06,3,2.98922
59,-4555,-1.00004e+06,3,3.02366
60,-4555,-1.00011e+06,3,2.99818
61,-4555,100004,3,0.511086
62,-4555,-1.00012e+06,3,2.99338
63,-4555,-1.00005e+06,3,3.01778
64,-4555,-1.00008e+06,3,2.99665
65,-4555,-1.00007e+06,3,2.99923
66,-4555,-1.00008e+06,3,3.06269
67,-4555,-1.00005e+06,3,3.00556
68,-4555,100055,3,0.511025
69,-4555,-1.00009e+06,3,3.07181
70,-4555,100179,3,0.511068
71,-4555,-1.00005e+06,3,3.01232
72,-4555,100090,3,0.511011
73,-4555,-1.00011e+06,3,3.01092
74,-4555,-1.00005e+06,3,2.99725
75,-4555,-1.00016e+06,3,3.01074
76,-4555,-1.00005e+06,3,3.01929
77,-4555,100005,3,0.511002
78,-4555,-1.00004e+06,3,3.00079
79,-4555,-1.00004e+06,3,0.56716
80,-4555,-1.00007e+06,3,3.0172
81,-4555,100002,3,0.511377
82,-4555,-1.00002e+06,3,2.99174
83,-4555,-1.00009e+06,3,2.98485
84,-4555,-1.00006e+06,3,2.99144
85,-4555,100018,3,0.511006
86,-4555,-1.00004e+06,3,3.00768
87,-4555,100085,3,0.51106
88,-4555,100034,3,0.511001
89,-4555,-1.00002e+06,3,3.01269
90,-4555,-1.00012e+06,3,3.00062
91,-4555,-1.00006e+06,3,2.99461
92,-4555,-1.00006e+06,3,3.04006
93,-4555,-1.00004e+06,3,3.01638
94,-4555,-1.00002e+06,3,3.00767
95,-4555,-1.00001e+06,3,2.99953
96,-4555,100098,3,0.511013
97,-4555,-1e+06,3,2.99844
98,-4555,-1.00007e+06,3,3.02524
99,-4555,-1.00015e+06,3,3.01464
