PID,x0,xf,E0,Ef
0,-4555,37992,3,3.73048
1,-4555,100099,3,0.511012
2,-4555,-1.00005e+06,3,3.21667
3,-4555,-349880,3,3.30181
4,-4555,-1.00001e+06,3,3.20928
5,-4555,-1.00005e+06,3,3.97621
6,-4555,100024,3,0.511012
7,-4555,100033,3,0.511007
8,-4555,-1.00007e+06,3,3.25815
9,-4555,100063,3,0.511012
10,-4555,100006,3,0.511176
11,-4555,-643933,3,3.46172
12,-4555,-316958,3,3.38343
13,-4555,100008,3,0.511007
14,-4555,-70162.3,3,4.04927
15,-4555,-88769.6,3,3.97284
16,-4555,73983.2,3,5.17466
17,-4555,-34567.5,3,4.25976
18,-4555,-1.00002e+06,3,3.06176
19,-4555,-1.00002e+06,3,3.50094
20,-4555,100010,3,0.511072
21,-4555,100114,3,0.511864
22,-4555,-322454,3,3.24821
23,-4555,100068,3,0.511285
24,-4555,-64953.3,3,3.15952
25,-4555,-1.00003e+06,3,3.02775
26,-4555,-1.00011e+06,3,4.09369
27,-4555,-106329,3,4.03979
28,-4555,-88459.6,3,3.11747
29,-4555,100009,3,0.512126
30,-4555,-1.00006e+06,3,3.42634
31,-4555,-1.00013e+06,3,2.99023
32,-4555,-1.00004e+06,3,3.16438
33,-4555,100011,3,0.511123
34,-4555,-1.0001e+06,3,3.0899
35,-4555,100150,3,0.511002
36,-4555,-1.00002e+06,3,2.99036
37,-4555,-1.00008e+06,3,3.32087
38,-4555,1554.21,3,3.20025
39,-4555,-1e+06,3,5.10466
40,-4555,-1.00013e+06,3,4.4592
41,-4555,-532379,3,3.28203
42,-4555,100105,3,0.511002
43,-4555,-1.00005e+06,3,3.13106
44,-4555,100042,3,0.51101
45,-4555,-1.00008e+06,3,3.01666
46,-4555,-1.00002e+06,3,3.11218
47,-4555,-1.00002e+06,3,5.5556
48,-4555,84319,3,0.614657
49,-4555,-102102,3,3.31759
50,-4555,100005,3,0.511006
51,-4555,100043,3,0.511767
52,-4555,100016,3,0.511067
53,-4555,-1.0001e+06,3,3.15219
54,-4555,10492.1,3,3.29913
55,-4555,100034,3,0.511005
56,-4555,-34300.2,3,3.35177
57,-4555,-1.0001e+06,3,3.18635
58,-4555,-290855,3,6.16746
59,-4555,-170649,3,4.0539
60,-4555,100064,3,0.511006
61,-4555,-26012,3,0.970711
62,-4555,100050,3,0.511001
63,-4555,-1.00005e+06,3,4.06684
64,-4555,-1e+06,3,3.00115
65,-4555,100003,3,0.511046
66,-4555,-1.00005e+06,3,3.08882
67,-4555,100018,3,0.511004
68,-4555,-1.00002e+06,3,4.78214
69,-4555,100296,3,0.511004
70,-4555,100077,3,0.511002
71,-4555,100016,3,0.511007
72,-4555,-1e+06,3,3.58521
73,-4555,100234,3,0.511
74,-4555,41784.6,3,3.34051
75,-4555,-1.00015e+06,3,3.10941
76,-4555,-1e+06,3,3.18749
77,-4555,-1.00002e+06,3,3.51685
78,-4555,-1.00011e+06,3,3.03016
79,-4555,-1.00006e+06,3,3.10671
80,-4555,-13048.1,3,3.64345
81,-4555,-190860,3,3.10509
82,-4555,-1.00004e+06,3,3.12331
83,-4555,100038,3,0.511005
84,-4555,-650345,3,3.47404
85,-4555,-1.00003e+06,3,3.88673
86,-4555,100001,3,0.511044
87,-4555,75265.8,3,3.76357
88,-4555,-1.00001e+06,3,3.5082
89,-4555,-557565,3,3.27679
90,-4555,100010,3,0.511039
91,-4555,100047,3,0.511005
92,-4555,46813.1,3,3.58901
93,-4555,100036,3,0.511002
94,-4555,-1.00002e+06,3,3.15181
95,-4555,-320633,3,3.73218
96,-4555,-124190,3,3.81442
97,-4555,-1.0001e+06,3,3.19683
98,-4555,-81964.8,3,3.58662
99,-4555,-1.00008e+06,3,3.32216
