PID,weight,x0,xf,E0,Ef
0,0,0,37944.2,3,0.511001
1,1,-13758.5,7046.82,3,0.511
5,1,-2944.77,34737.6,3,0.511001
7,1,-19916.2,9746.51,3,0.511001
7,1,-10356.1,7506.94,3,0.511001
7,2,-10367.6,7506.94,3,0.511001
9,1,-4360.67,33556.5,3,0.511
9,1,-417.682,19630.6,3,0.511001
9,2,-429.956,19630.6,3,0.511001
10,1,-6251.59,25838.9,3,0.511001
13,1,-4047.39,32698.9,3,0.511001
14,1,-654.36,33224.3,3,0.511
15,1,-3976.02,33601.6,3,0.511
16,1,-6602.34,31015.1,3,0.511001
16,1,-8035.97,18931.1,3,0.511001
16,2,-8022.3,18931.1,3,0.511001
17,1,-2879.99,35764.1,3,0.511001
20,1,-12015.7,33261.9,3,0.511
20,1,-12539.7,30937.7,3,0.511001
20,2,-12545.9,30937.7,3,0.511001
21,1,-11899.8,33829.4,3,0.511001
21,1,-15021.4,25550.7,3,0.511001
21,2,-15015.8,25550.7,3,0.511001
21,1,-680.99,23816.2,3,0.511
21,2,-672.76,23816.2,3,0.511
21,3,-678.575,23816.2,3,0.511
26,1,-9232.38,32555.2,3,0.511
27,1,-6286.42,32490.6,3,0.511001
39,1,-51585.2,34657.5,3,0.511
39,1,-20712.2,26207.8,3,0.511001
39,2,-20700.4,26207.8,3,0.511001
40,1,-3026.45,32500.3,3,0.511001
42,1,-12149.3,34376.7,3,0.511001
47,1,-19090.9,28438.5,3,0.511001
47,1,-12072.1,26528,3,0.511
47,2,-12090.1,26528,3,0.511
47,1,-502.558,20588.5,3,0.511001
47,2,-492.929,20588.5,3,0.511001
47,3,-490.877,20588.5,3,0.511001
50,1,-6307.59,34683.4,3,0.511
51,1,-8297.83,31912.3,3,0.511
51,1,-173612,10503,3,0.511001
51,2,-173606,10503,3,0.511001
55,1,-3596.27,34101.2,3,0.511
58,1,-1609.69,34330.9,3,0.511
58,1,-9955.37,21859.2,3,0.511
58,2,-9942.65,21859.2,3,0.511
58,1,-22804,9956.32,3,0.511
58,2,-22808.1,9956.32,3,0.511
58,3,-22802.7,9956.32,3,0.511
58,1,-34995.4,6996.53,3,0.511
58,2,-34992.7,6996.53,3,0.511
58,3,-35005.2,6996.53,3,0.511
58,4,-35000,6996.53,3,0.511
59,1,-16159.2,34039.7,3,0.511001
61,1,-13612.9,34026.2,3,0.511001
63,1,-11802.3,30566.5,3,0.511
65,1,-14718.1,32787.2,3,0.511001
68,1,-18412.7,33322.3,3,0.511
68,1,-29785.8,30171.6,3,0.511001
68,2,-29783,30171.6,3,0.511001
70,1,-9822.23,33855.1,3,0.511001
71,1,-4647.55,34379.5,3,0.511
71,1,-35906,19910.7,3,0.511
71,2,-35922.3,19910.7,3,0.511
85,1,-386044,30496,3,0.511001
87,1,-2136.43,27806.3,3,0.511001
91,1,-34723.6,32832.1,3,0.511
93,1,-11294.6,33334.4,3,0.511001
93,1,-25593.2,31131.5,3,0.511
93,2,-25609.1,31131.5,3,0.511
95,1,-69607.2,13793.4,3,0.511
96,1,-416505,23322.6,3,0.511001
