PID,tstep,weight,x,y,z,vx,vy,vz
1,162868,1,-13758.5,-439491,-5.61779e+06,-3.25186e+09,-2.79872e+10,-9.4567e+09
5,16900,1,-2944.77,-533614,-249448,1.93262e+10,-1.75256e+10,-1.42352e+10
7,148642,1,-19916.2,-686622,-5.50035e+06,-5.97147e+09,-2.76698e+10,-9.05615e+09
7,160445,1,-10356.1,-1.42475e+06,-5.523e+06,3.68689e+09,-2.95717e+10,-5.61332e+08
7,160445,2,-10367.6,-1.42476e+06,-5.52299e+06,3.68689e+09,-2.95717e+10,-5.61332e+08
9,23123,1,-4360.67,-425692,-700880,-8.13282e+07,-2.33181e+10,1.84268e+10
9,96538,1,-417.682,-1.41222e+06,-689177,1.75011e+10,-2.36218e+10,4.91097e+09
9,96538,2,-429.956,-1.41222e+06,-689167,1.75011e+10,-2.36218e+10,4.91097e+09
10,63809,1,-6251.59,-800134,-1.44504e+06,2.25969e+09,-2.92058e+10,-5.02064e+09
13,27646,1,-4047.39,-446374,-1.11497e+06,1.59117e+10,-2.49995e+10,-2.26504e+09
14,24875,1,-654.36,-695848,-1.08834e+06,4.34307e+09,-2.70696e+10,-1.14744e+10
15,22884,1,-3976.02,-451749,-1.19411e+06,1.00789e+10,-1.30754e+10,-2.47131e+10
16,36521,1,-6602.34,-489167,-522031,-2.18441e+09,-2.92878e+10,4.55466e+09
16,100226,1,-8035.97,-1.48771e+06,-735181,1.16596e+10,-2.47599e+10,1.18065e+10
16,100226,2,-8022.3,-1.48772e+06,-735189,1.16596e+10,-2.47599e+10,1.18065e+10
17,11490,1,-2879.99,-478060,-876372,9.1673e+09,-2.63632e+10,-1.02095e+10
20,24675,1,-12015.7,-461160,-1.13254e+06,1.2722e+10,-2.3132e+10,1.3651e+10
20,36926,1,-12539.7,-1.09971e+06,-1.36106e+06,1.2331e+10,-2.04743e+10,1.78085e+10
20,36926,2,-12545.9,-1.0997e+06,-1.36106e+06,1.2331e+10,-2.04743e+10,1.78085e+10
21,21684,1,-11899.8,-499024,-473157,-3.45689e+09,-1.61239e+10,2.47257e+10
21,65327,1,-15021.4,-1.72792e+06,-1.33577e+06,-1.5714e+09,-2.90911e+10,6.29552e+09
21,65327,2,-15015.8,-1.72793e+06,-1.33577e+06,-1.5714e+09,-2.90911e+10,6.29552e+09
21,74466,1,-680.99,-2.27102e+06,-1.88073e+06,1.0567e+10,-2.20178e+10,-1.71764e+10
21,74466,2,-672.76,-2.27101e+06,-1.88074e+06,1.0567e+10,-2.20178e+10,-1.71764e+10
21,74466,3,-678.575,-2.27101e+06,-1.88073e+06,1.0567e+10,-2.20178e+10,-1.71764e+10
26,28404,1,-9232.38,-473042,-585491,-1.08429e+10,-2.74853e+10,-3.20555e+09
27,28744,1,-6286.42,-629571,-965239,9.0761e+09,-2.58488e+10,-1.15218e+10
39,17322,1,-51585.2,-808577,242296,-1.04837e+10,-5.19743e+09,2.73197e+10
