PID,x0,xf,E0,Ef
0,-4.555e+08,5.70387e+08,2.00056e-07,2.32348e-12
1,-4.555e+08,5.69553e+08,2.00056e-07,6.35282e-09
2,-4.555e+08,5.69502e+08,2.00056e-07,1.39982e-12
3,-4.555e+08,5.69861e+08,2.00056e-07,1.61582e-12
4,-4.555e+08,5.69901e+08,2.00056e-07,1.43541e-12
5,-4.555e+08,5.6957e+08,2.00056e-07,2.12666e-10
6,-4.555e+08,5.69403e+08,2.00056e-07,3.95202e-11
7,-4.555e+08,5.69517e+08,2.00056e-07,4.34579e-12
8,-4.555e+08,5.6956e+08,2.00056e-07,3.65946e-12
9,-4.555e+08,5.71046e+08,2.00056e-07,7.70529e-12
