c
c THTk default Beta spectrum 200 points from 0.1 to 10.1 MeV
#     SI4     SP4 
       L        d 
      0.1      0.035321108
      0.15     0.034296497
      0.2      0.033292453
      0.25     0.032308916
      0.3      0.031345814
      0.35     0.030403059
      0.4      0.02948055
      0.45     0.028578173
      0.5      0.027695799
      0.55     0.026833289
      0.6      0.025990491
      0.65     0.025167242
      0.7      0.024363369
      0.75     0.023578688
      0.8      0.022813004
      0.85     0.022066116
      0.9      0.021337813
      0.95     0.020627873
      1.0      0.019936072
      1.05     0.019262173
      1.1      0.018605937
      1.15     0.017967117
      1.2      0.017345459
      1.25     0.016740706
      1.3      0.016152595
      1.35     0.01558086
      1.4      0.015025229
      1.45     0.014485429
      1.5      0.013961182
      1.55     0.013452208
      1.6      0.012958225
      1.65     0.01247895
      1.7      0.012014097
      1.75     0.01156338
      1.8      0.011126512
      1.85     0.010703205
      1.9      0.010293172
      1.95     0.009896125
      2.0      0.009511777
      2.05     0.009139843
      2.1      0.008780038
      2.15     0.008432078
      2.2      0.008095681
      2.25     0.007770568
      2.3      0.00745646
      2.35     0.007153081
      2.4      0.00686016
      2.45     0.006577424
      2.5      0.006304608
      2.55     0.006041445
      2.6      0.005787675
      2.65     0.005543041
      2.7      0.005307287
      2.75     0.005080162
      2.8      0.004861421
      2.85     0.004650819
      2.9      0.004448116
      2.95     0.004253079
      3.00     0.004065476
      3.05     0.003885079
      3.1      0.003711666
      3.15     0.003545018
      3.2      0.003384922
      3.25     0.003231167
      3.3      0.003083548
      3.35     0.002941864
      3.4      0.002805918
      3.45     0.002675519
      3.5      0.002550478
      3.55     0.002430612
      3.6      0.002315743
      3.65     0.002205696
      3.7      0.002100301
      3.75     0.001999392
      3.8      0.001902808
      3.85     0.001810392
      3.9      0.00172199
      3.95     0.001637455
      4.0      0.001556642
      4.05     0.00147941
      4.1      0.001405623
      4.15     0.001335149
      4.2      0.00126786
      4.25     0.001203631
      4.3      0.001142342
      4.35     0.001083876
      4.4      0.001028119
      4.45     0.000974962
      4.5      0.000924299
      4.55     0.000876028
      4.6      0.00083005
      4.65     0.000786269
      4.7      0.000744592
      4.75     0.00070493
      4.8      0.000667197
      4.85     0.000631311
      4.9      0.00059719
      4.95     0.000564759
      5.0      0.000533941
      5.05     0.000504667
      5.1      0.000476866
      5.15     0.000450473
      5.2      0.000425424
      5.25     0.000401657
      5.3      0.000379114
      5.35     0.000357737
      5.4      0.000337473
      5.45     0.00031827
      5.5      0.000300076
      5.55     0.000282845
      5.6      0.00026653
      5.65     0.000251087
      5.7      0.000236473
      5.75     0.000222649
      5.8      0.000209576
      5.85     0.000197216
      5.9      0.000185534
      5.95     0.000174495
      6.0      0.000164069
      6.05     0.000154223
      6.1      0.000144928
      6.15     0.000136156
      6.2      0.000127879
      6.25     0.000120073
      6.3      0.000112712
      6.35     0.000105773
      6.4      9.92345E-05
      6.45     9.30743E-05
      6.5      8.72726E-05
      6.55     8.18099E-05
      6.6      7.66681E-05
      6.65     7.18297E-05
      6.7      6.72782E-05
      6.75     6.29977E-05
      6.8      5.89734E-05
      6.85     5.51909E-05
      6.9      5.16369E-05
      6.95     4.82984E-05
      7.00     4.51634E-05
      7.05     4.22202E-05
      7.1      3.9458E-05
      7.15     3.68663E-05
      7.2      3.44354E-05
      7.25     3.2156E-05
      7.3      3.00192E-05
      7.35     2.80166E-05
      7.4      2.61405E-05
      7.45     2.43833E-05
      7.5      2.2738E-05
      7.55     2.11978E-05
      7.6      1.97566E-05
      7.65     1.84082E-05
      7.7      1.71472E-05
      7.75     1.59682E-05
      7.8      1.48661E-05
      7.85     1.38363E-05
      7.9      1.28743E-05
