Step,Bx,By,Bz,Bm
0,1.34797e-07,3.4601e-08,6.4571e-07,6.60537e-07
1,1.33515e-07,3.50058e-08,6.44186e-07,6.58807e-07
2,1.33682e-07,3.57626e-08,6.42932e-07,6.57656e-07
3,1.34447e-07,3.64812e-08,6.42287e-07,6.57221e-07
4,1.34949e-07,3.66851e-08,6.42488e-07,6.57532e-07
5,1.34698e-07,3.5917e-08,6.43585e-07,6.5851e-07
6,1.33827e-07,3.38436e-08,6.45374e-07,6.59971e-07
7,1.33082e-07,3.03333e-08,6.47402e-07,6.61635e-07
8,1.33509e-07,2.54883e-08,6.49038e-07,6.63117e-07
9,1.35939e-07,1.96246e-08,6.49591e-07,6.63952e-07
10,1.40495e-07,1.32091e-08,6.48461e-07,6.63638e-07
11,1.46349e-07,6.77566e-09,6.45273e-07,6.61695e-07
12,1.51893e-07,8.45505e-10,6.39956e-07,6.57735e-07
13,1.55298e-07,-4.12825e-09,6.32775e-07,6.51566e-07
14,1.55216e-07,-7.78872e-09,6.24298e-07,6.43351e-07
15,1.51335e-07,-9.88732e-09,6.15328e-07,6.33741e-07
16,1.44482e-07,-1.02984e-08,6.06811e-07,6.23859e-07
17,1.36234e-07,-9.04879e-09,5.99737e-07,6.15083e-07
18,1.28208e-07,-6.35609e-09,5.95024e-07,6.08713e-07
19,1.21374e-07,-2.6528e-09,5.93387e-07,6.05678e-07
20,1.15734e-07,1.43288e-09,5.95212e-07,6.06361e-07
21,1.10517e-07,5.15623e-09,6.00446e-07,6.10554e-07
22,1.04773e-07,7.78592e-09,6.0854e-07,6.17543e-07
23,9.80499e-08,8.75041e-09,6.18484e-07,6.26269e-07
24,9.07882e-08,7.7534e-09,6.28934e-07,6.355e-07
25,8.42176e-08,4.82085e-09,6.38424e-07,6.43972e-07
26,7.97934e-08,2.69219e-10,6.45618e-07,6.50531e-07
27,7.84556e-08,-5.38255e-09,6.49555e-07,6.54298e-07
28,8.0093e-08,-1.15157e-08,6.49813e-07,6.54832e-07
29,8.35035e-08,-1.74919e-08,6.46581e-07,6.52186e-07
30,8.68926e-08,-2.27002e-08,6.40593e-07,6.46858e-07
31,8.86788e-08,-2.65849e-08,6.32954e-07,6.39688e-07
32,8.82096e-08,-2.86838e-08,6.24894e-07,6.31741e-07
33,8.60304e-08,-2.86891e-08,6.17523e-07,6.24147e-07
34,8.35675e-08,-2.65207e-08,6.11645e-07,6.17897e-07
35,8.2389e-08,-2.2377e-08,6.07677e-07,6.13645e-07
36,8.34133e-08,-1.67296e-08,6.05666e-07,6.11612e-07
37,8.64651e-08,-1.0248e-08,6.05374e-07,6.11603e-07
