PID,x0,xf,E0,Ef
0,-8.35e+11,2.08876e+12,1.77012e-09,5.37233e-08
1,-8.35e+11,2.08873e+12,1.68677e-09,5.88769e-09
2,-8.35e+11,2.0904e+12,1.31715e-09,9.92671e-08
3,-8.35e+11,2.09585e+12,9.14763e-10,4.62994e-07
4,-8.35e+11,2.08806e+12,1.94193e-09,2.62837e-08
5,-8.35e+11,2.09012e+12,1.65256e-09,1.38351e-08
6,-8.35e+11,2.08844e+12,2.22232e-09,3.2543e-09
7,-8.35e+11,2.08898e+12,2.93268e-09,9.24194e-08
8,-8.35e+11,2.08845e+12,1.08919e-09,4.90338e-08
9,-8.35e+11,2.09756e+12,9.42328e-10,6.36752e-07
10,-8.35e+11,2.08811e+12,1.36511e-09,3.62707e-09
11,-8.35e+11,2.09009e+12,6.70023e-10,2.581e-07
12,-8.35e+11,2.08776e+12,2.45645e-10,4.01035e-09
13,-8.35e+11,2.08866e+12,1.20632e-09,4.45931e-09
14,-8.35e+11,2.08773e+12,1.05512e-09,5.82497e-08
15,-8.35e+11,2.0877e+12,1.26337e-09,4.22722e-08
16,-8.35e+11,2.08825e+12,1.46783e-09,1.37377e-08
17,-8.35e+11,2.08795e+12,3.12176e-09,1.19392e-08
18,-8.35e+11,2.08797e+12,2.25369e-09,1.56041e-08
19,-8.35e+11,2.08774e+12,3.62209e-09,9.52255e-08
20,-8.35e+11,2.08936e+12,1.43203e-09,1.4043e-08
21,-8.35e+11,2.08885e+12,1.5432e-10,4.95079e-08
22,-8.35e+11,2.08846e+12,8.74038e-10,2.35723e-09
23,-8.35e+11,2.08782e+12,3.35989e-09,4.57779e-09
24,-8.35e+11,2.08795e+12,1.4852e-09,2.00164e-08
25,-8.35e+11,2.08925e+12,2.52685e-09,1.94782e-08
26,-8.35e+11,2.08945e+12,2.68358e-09,4.45383e-08
27,-8.35e+11,2.08791e+12,3.65201e-09,1.55668e-08
28,-8.35e+11,2.08818e+12,2.41977e-09,3.80901e-08
29,-8.35e+11,2.08804e+12,2.47053e-09,1.97722e-08
30,-8.35e+11,2.08907e+12,3.13673e-09,6.31533e-08
31,-8.35e+11,2.10606e+12,2.90024e-09,2.31667e-09
32,-8.35e+11,2.08766e+12,8.41601e-10,3.23509e-08
33,-8.35e+11,2.08757e+12,6.38334e-10,9.80731e-09
34,-8.35e+11,2.08987e+12,1.20382e-09,1.42156e-08
35,-8.35e+11,2.09051e+12,1.21018e-09,3.73021e-07
36,-8.35e+11,2.0884e+12,4.99489e-09,1.26276e-08
37,-8.35e+11,2.08872e+12,9.64102e-10,2.75798e-08
38,-8.35e+11,2.08786e+12,5.80818e-10,8.79454e-08
39,-8.35e+11,2.09345e+12,5.63921e-10,1.70637e-07
40,-8.35e+11,2.09097e+12,2.48249e-10,1.08669e-07
41,-8.35e+11,2.08885e+12,5.14651e-10,2.27677e-06
42,-8.35e+11,2.08801e+12,2.29041e-09,8.48516e-07
43,-8.35e+11,2.08767e+12,2.75258e-09,6.86472e-09
44,-8.35e+11,2.08931e+12,2.1436e-09,1.45588e-07
45,-8.35e+11,2.08851e+12,1.0785e-09,2.2026e-08
46,-8.35e+11,2.10023e+12,2.91703e-09,1.42646e-06
47,-8.35e+11,2.08831e+12,2.74489e-09,2.56124e-08
48,-8.35e+11,2.09002e+12,9.5618e-10,1.18279e-07
49,-8.35e+11,2.08839e+12,3.13918e-10,2.4049e-08
50,-8.35e+11,2.08821e+12,1.7832e-09,2.30029e-08
51,-8.35e+11,2.08772e+12,2.44407e-09,4.65558e-08
52,-8.35e+11,2.08831e+12,6.86565e-10,4.84216e-08
53,-8.35e+11,2.08838e+12,3.90484e-09,3.78408e-08
54,-8.35e+11,2.08846e+12,4.29701e-09,1.30912e-09
55,-8.35e+11,2.08758e+12,5.79422e-10,1.24782e-08
56,-8.35e+11,2.09232e+12,8.64606e-10,4.61438e-08
57,-8.35e+11,2.08984e+12,1.25124e-09,5.0455e-08
58,-8.35e+11,2.08755e+12,2.55992e-09,3.74635e-09
59,-8.35e+11,2.08828e+12,8.44338e-10,3.43939e-08
60,-8.35e+11,2.089e+12,3.8558e-10,1.54444e-07
61,-8.35e+11,2.08811e+12,1.38646e-09,1.7495e-08
62,-8.35e+11,2.08869e+12,2.91368e-10,9.53327e-09
63,-8.35e+11,2.08856e+12,1.2271e-09,1.09718e-07
64,-8.35e+11,2.08849e+12,2.89217e-09,1.76263e-08
65,-8.35e+11,2.08848e+12,1.84564e-09,1.58332e-08
66,-8.35e+11,2.09401e+12,3.98947e-09,1.27595e-06
67,-8.35e+11,2.0936e+12,4.46153e-10,1.6916e-07
68,-8.35e+11,2.09595e+12,1.07367e-09,2.25823e-08
69,-8.35e+11,2.0897e+12,2.91143e-09,2.67626e-09
70,-8.35e+11,2.08791e+12,3.87015e-09,8.08923e-09
71,-8.35e+11,2.08776e+12,1.68604e-09,6.69882e-09
72,-8.35e+11,2.08928e+12,2.17242e-09,9.0004e-08
73,-8.35e+11,2.08777e+12,1.40514e-09,7.41293e-09
74,-8.35e+11,2.09053e+12,1.75706e-09,2.74273e-08
75,-8.35e+11,2.08755e+12,8.47818e-10,7.72961e-10
76,-8.35e+11,2.14806e+12,6.70753e-10,9.6316e-08
77,-8.35e+11,2.08905e+12,1.65129e-09,5.40873e-09
78,-8.35e+11,2.08796e+12,1.40128e-09,8.58002e-09
79,-8.35e+11,2.08871e+12,1.32746e-09,2.27994e-09
80,-8.35e+11,2.09235e+12,1.46345e-09,9.45651e-08
81,-8.35e+11,2.08778e+12,4.15493e-09,3.00756e-09
82,-8.35e+11,2.08878e+12,3.33605e-09,3.65522e-08
83,-8.35e+11,2.08758e+12,1.17425e-09,7.26672e-09
84,-8.35e+11,2.09007e+12,2.31177e-09,3.3036e-08
85,-8.35e+11,2.08769e+12,1.66541e-09,2.54215e-08
86,-8.35e+11,2.09006e+12,2.91651e-09,9.66081e-08
87,-8.35e+11,2.08826e+12,2.89286e-10,1.49176e-09
88,-8.35e+11,2.08801e+12,1.72694e-09,8.28098e-09
89,-8.35e+11,2.08951e+12,1.70322e-09,1.93618e-08
90,-8.35e+11,2.08945e+12,1.40977e-09,4.68257e-09
91,-8.35e+11,2.08773e+12,4.7817e-10,6.46125e-07
92,-8.35e+11,2.0902e+12,9.45064e-10,1.73353e-08
93,-8.35e+11,2.09074e+12,1.91731e-09,1.05972e-07
94,-8.35e+11,2.08872e+12,2.47329e-09,3.91853e-08
95,-8.35e+11,2.08788e+12,2.0133e-09,7.09724e-09
96,-8.35e+11,2.08831e+12,3.49124e-09,1.03864e-08
97,-8.35e+11,2.10996e+12,2.81077e-09,3.48959e-09
98,-8.35e+11,2.08799e+12,4.26665e-09,9.2448e-08
99,-8.35e+11,2.08778e+12,2.33136e-09,5.72504e-08
100,-8.35e+11,2.08843e+12,1.8697e-09,3.95796e-08
101,-8.35e+11,2.08949e+12,4.08678e-09,1.35435e-08
102,-8.35e+11,2.0878e+12,3.24235e-09,5.14713e-08
103,-8.35e+11,2.08802e+12,3.75065e-09,1.34601e-08
104,-8.35e+11,2.09063e+12,6.84187e-10,9.29544e-09
105,-8.35e+11,2.08964e+12,2.24725e-09,1.37391e-07
106,-8.35e+11,2.09777e+12,6.30064e-10,1.55829e-06
107,-8.35e+11,2.08794e+12,1.11879e-09,8.41182e-09
108,-8.35e+11,2.13567e+12,6.75048e-10,3.15539e-08
109,-8.35e+11,2.08825e+12,4.79404e-10,2.73427e-09
110,-8.35e+11,2.08876e+12,8.77667e-10,6.85082e-08
111,-8.35e+11,2.08768e+12,6.12084e-10,2.767e-08
112,-8.35e+11,2.09464e+12,2.28846e-09,1.3961e-08
113,-8.35e+11,2.09522e+12,3.29211e-09,3.12857e-09
114,-8.35e+11,2.0913e+12,1.99082e-09,1.16912e-08
115,-8.35e+11,2.0908e+12,1.05416e-09,5.77823e-08
116,-8.35e+11,2.09042e+12,8.00109e-10,1.62332e-08
117,-8.35e+11,2.08753e+12,4.32033e-10,4.81554e-09
118,-8.35e+11,2.0886e+12,2.19737e-09,2.03823e-08
119,-8.35e+11,2.08812e+12,1.10274e-09,1.61075e-08
120,-8.35e+11,2.08808e+12,3.49713e-09,1.89322e-08
121,-8.35e+11,2.08798e+12,2.6702e-09,1.95813e-08
122,-8.35e+11,2.08979e+12,7.01001e-10,4.555e-08
123,-8.35e+11,2.09043e+12,1.15278e-09,6.4638e-09
124,-8.35e+11,2.08809e+12,3.02189e-09,1.34359e-08
125,-8.35e+11,2.08828e+12,4.95363e-09,6.77853e-09
126,-8.35e+11,2.08916e+12,1.80777e-09,4.32675e-08
127,-8.35e+11,2.08817e+12,2.63289e-09,5.12047e-09
128,-8.35e+11,2.08815e+12,7.84357e-10,8.02832e-09
129,-8.35e+11,2.08769e+12,8.94516e-10,4.15679e-09
130,-8.35e+11,2.0893e+12,1.46511e-09,5.06475e-07
131,-8.35e+11,2.08772e+12,8.08628e-10,9.74705e-08
132,-8.35e+11,2.0877e+12,3.69406e-09,2.92343e-08
133,-8.35e+11,2.09181e+12,2.63401e-09,4.3034e-08
134,-8.35e+11,2.08767e+12,5.13822e-09,8.08923e-09
135,-8.35e+11,2.08764e+12,2.90186e-09,5.85287e-08
136,-8.35e+11,2.09916e+12,1.92239e-09,6.76306e-07
137,-8.35e+11,2.08834e+12,1.7024e-09,3.14009e-09
138,-8.35e+11,2.11762e+12,3.56279e-09,9.83092e-09
139,-8.35e+11,2.11852e+12,1.20176e-09,2.20246e-08
140,-8.35e+11,2.08808e+12,4.98665e-10,3.13657e-08
141,-8.35e+11,2.09127e+12,1.33859e-09,1.33046e-06
142,-8.35e+11,2.08874e+12,2.32969e-09,8.48827e-09
143,-8.35e+11,2.08888e+12,1.95031e-09,7.52335e-08
144,-8.35e+11,2.08757e+12,3.66896e-09,3.56886e-08
145,-8.35e+11,2.08929e+12,6.29883e-10,3.91392e-08
146,-8.35e+11,2.08889e+12,4.97868e-09,2.17666e-08
147,-8.35e+11,2.09694e+12,8.60354e-10,1.45209e-08
148,-8.35e+11,2.08787e+12,2.92098e-09,2.10538e-08
149,-8.35e+11,2.08838e+12,8.46872e-10,2.23977e-08
150,-8.35e+11,2.0885e+12,1.17912e-09,1.13813e-07
151,-8.35e+11,2.08858e+12,3.82281e-10,1.93699e-09
152,-8.35e+11,2.08814e+12,2.51958e-09,2.13774e-08
153,-8.35e+11,2.08751e+12,6.53373e-10,1.10253e-07
154,-8.35e+11,2.08813e+12,2.89572e-09,2.70331e-08
155,-8.35e+11,2.09067e+12,2.27868e-09,2.02154e-08
156,-8.35e+11,2.08824e+12,1.5014e-09,2.58944e-08
157,-8.35e+11,2.08786e+12,1.88912e-09,6.17874e-09
158,-8.35e+11,2.09694e+12,1.78543e-09,1.24424e-08
159,-8.35e+11,2.09089e+12,2.59209e-09,2.22929e-09
160,-8.35e+11,2.08984e+12,1.27266e-09,1.10976e-07
161,-8.35e+11,2.10228e+12,9.89924e-10,3.88736e-06
162,-8.35e+11,2.08845e+12,6.47419e-10,6.29284e-09
163,-8.35e+11,2.08915e+12,2.77221e-09,1.19853e-09
164,-8.35e+11,2.09086e+12,3.87291e-09,2.64077e-08
165,-8.35e+11,2.0879e+12,6.85948e-10,4.11069e-08
166,-8.35e+11,2.09644e+12,2.39099e-09,1.71635e-06
167,-8.35e+11,2.08755e+12,1.64035e-09,1.60043e-08
168,-8.35e+11,2.08827e+12,6.50846e-10,1.01824e-08
169,-8.35e+11,2.08764e+12,5.62426e-10,1.72525e-09
170,-8.35e+11,2.08911e+12,4.05443e-10,3.74249e-08
171,-8.35e+11,2.08851e+12,1.1616e-09,2.2292e-08
172,-8.35e+11,2.08756e+12,1.19511e-09,2.20472e-08
173,-8.35e+11,2.08817e+12,2.30955e-09,3.78922e-09
174,-8.35e+11,2.08776e+12,2.15673e-09,8.06459e-08
175,-8.35e+11,2.08765e+12,8.34547e-10,4.71302e-08
176,-8.35e+11,2.08862e+12,1.68592e-09,3.49639e-08
177,-8.35e+11,2.08752e+12,1.41558e-09,1.33614e-08
178,-8.35e+11,2.08784e+12,7.84813e-10,1.76403e-08
179,-8.35e+11,2.08755e+12,1.55979e-09,2.8446e-08
180,-8.35e+11,2.10782e+12,6.93639e-10,5.4798e-08
181,-8.35e+11,2.09996e+12,1.42153e-09,6.24645e-07
182,-8.35e+11,2.08799e+12,1.21192e-09,4.63096e-08
183,-8.35e+11,2.08958e+12,5.90992e-10,5.50457e-10
184,-8.35e+11,2.08901e+12,1.87575e-09,1.44696e-08
185,-8.35e+11,2.08764e+12,3.67136e-09,1.17331e-08
186,-8.35e+11,2.08808e+12,1.07098e-09,2.14172e-08
187,-8.35e+11,2.08823e+12,1.00727e-09,9.3712e-09
188,-8.35e+11,2.08835e+12,3.2161e-09,1.21446e-08
189,-8.35e+11,2.08751e+12,1.39564e-09,1.05118e-06
190,-8.35e+11,2.08795e+12,1.50927e-09,3.87234e-09
191,-8.35e+11,2.08772e+12,3.30591e-09,5.61058e-09
192,-8.35e+11,2.09021e+12,7.88659e-10,4.19437e-07
193,-8.35e+11,2.08825e+12,1.17615e-09,5.16813e-08
194,-8.35e+11,2.08867e+12,8.22168e-10,4.00363e-08
195,-8.35e+11,2.08836e+12,3.4501e-09,2.46704e-08
196,-8.35e+11,2.09107e+12,1.86536e-09,3.9258e-09
197,-8.35e+11,2.08935e+12,8.13667e-10,1.47883e-08
198,-8.35e+11,2.09044e+12,2.18218e-09,5.39591e-08
199,-8.35e+11,2.09014e+12,2.12012e-09,8.22532e-08
200,-8.35e+11,2.08804e+12,4.10583e-09,6.01198e-10
201,-8.35e+11,2.0891e+12,6.41017e-10,3.41434e-09
202,-8.35e+11,2.08999e+12,1.29452e-09,1.29929e-07
203,-8.35e+11,2.0916e+12,3.18489e-09,4.12368e-09
204,-8.35e+11,2.08923e+12,2.00561e-09,2.01841e-09
205,-8.35e+11,2.08838e+12,1.53471e-09,3.04202e-09
206,-8.35e+11,2.13797e+12,5.69613e-10,1.09974e-06
207,-8.35e+11,2.15292e+12,1.73448e-09,5.52676e-08
208,-8.35e+11,2.09134e+12,2.29316e-09,2.78115e-08
209,-8.35e+11,2.09257e+12,2.0522e-10,4.07351e-08
210,-8.35e+11,2.08828e+12,2.12001e-09,7.19082e-08
211,-8.35e+11,2.08752e+12,1.32752e-09,4.08805e-08
212,-8.35e+11,2.12343e+12,3.29581e-09,1.12802e-06
213,-8.35e+11,2.08866e+12,2.39029e-09,1.88973e-09
214,-8.35e+11,2.08965e+12,1.38508e-09,4.2357e-08
215,-8.35e+11,2.0887e+12,1.64911e-09,2.035e-09
216,-8.35e+11,2.08867e+12,1.77303e-09,5.02972e-08
217,-8.35e+11,2.09106e+12,1.41547e-09,2.71066e-08
218,-8.35e+11,2.10514e+12,2.90395e-09,4.81811e-08
219,-8.35e+11,2.08803e+12,1.32519e-09,1.64392e-08
220,-8.35e+11,2.08935e+12,1.9798e-09,7.21061e-08
221,-8.35e+11,2.08813e+12,2.83072e-09,1.95815e-07
222,-8.35e+11,2.08769e+12,1.67789e-09,1.08548e-08
223,-8.35e+11,2.08913e+12,1.34209e-09,3.53104e-08
224,-8.35e+11,2.09444e+12,1.27468e-09,1.73753e-07
225,-8.35e+11,2.08804e+12,4.51186e-09,4.00727e-08
