PID,weight,x0,xf,E0,Ef
0,0,0,2.08789e+12,0,5.60559e-09
0,1,-8.24139e+11,2.08789e+12,0,5.60559e-09
0,1,-8.23914e+11,2.08789e+12,0,5.60559e-09
0,2,-8.25774e+11,2.08789e+12,0,5.60559e-09
0,1,-8.19741e+11,2.08789e+12,0,5.60559e-09
0,2,-8.18321e+11,2.08789e+12,0,5.60559e-09
0,3,-8.21839e+11,2.08789e+12,0,5.60559e-09
0,1,-8.13254e+11,2.08789e+12,0,5.60559e-09
0,2,-8.08592e+11,2.08792e+12,0,1.54043e-10
0,3,-8.152e+11,2.08789e+12,0,5.60559e-09
0,4,-8.14055e+11,2.08789e+12,0,5.60559e-09
0,1,-8.00841e+11,2.08789e+12,0,5.60559e-09
0,2,-8.03682e+11,2.08789e+12,0,5.60559e-09
0,3,-8.01843e+11,2.08789e+12,0,5.60559e-09
0,4,-7.97798e+11,2.08789e+12,0,5.60559e-09
0,5,-8.02482e+11,2.08789e+12,0,5.60559e-09
0,1,-7.79328e+11,2.08789e+12,0,5.60559e-09
0,2,-7.79732e+11,2.08789e+12,0,5.60559e-09
0,3,-7.82673e+11,2.08789e+12,0,5.60559e-09
0,4,-7.83914e+11,2.08789e+12,0,5.60559e-09
0,5,-7.81726e+11,2.08789e+12,0,5.60559e-09
0,6,-7.823e+11,2.08789e+12,0,5.60559e-09
0,1,-4.98101e+11,2.08789e+12,0,5.60559e-09
0,2,-4.98416e+11,2.08789e+12,0,5.60559e-09
0,3,-4.99711e+11,2.08789e+12,0,5.60559e-09
0,4,-4.95085e+11,2.08789e+12,0,5.60559e-09
0,5,-4.9873e+11,2.08789e+12,0,5.60559e-09
0,6,-4.99103e+11,2.08789e+12,0,5.60559e-09
0,7,-4.93096e+11,2.08803e+12,0,2.67592e-11
1,1,-8.30152e+11,2.08789e+12,0,5.60559e-09
1,1,-8.20707e+11,2.08789e+12,0,5.60559e-09
1,2,-8.26048e+11,2.08762e+12,0,7.65732e-10
1,1,-8.17301e+11,2.08789e+12,0,5.60559e-09
1,2,-8.20525e+11,2.08789e+12,0,5.60559e-09
1,3,-8.16674e+11,2.088e+12,0,1.21934e-10
1,1,-8.05361e+11,2.08789e+12,0,5.60559e-09
1,2,-8.04158e+11,2.08842e+12,0,2.26759e-09
1,3,-8.00124e+11,2.08789e+12,0,5.60559e-09
1,4,-8.0124e+11,2.08789e+12,0,5.60559e-09
1,1,-7.81086e+11,2.08789e+12,0,5.60559e-09
1,2,-7.82648e+11,2.0886e+12,0,3.95851e-09
1,3,-7.78236e+11,2.08795e+12,0,3.36658e-11
1,4,-7.8001e+11,2.08789e+12,0,5.60559e-09
1,5,-7.85385e+11,2.08789e+12,0,5.60559e-09
1,1,-7.10593e+11,2.08789e+12,0,5.60559e-09
1,2,-7.13503e+11,2.08789e+12,0,5.60559e-09
1,3,-7.13507e+11,2.08789e+12,0,5.60559e-09
1,4,-7.14527e+11,2.08789e+12,0,5.60559e-09
1,5,-7.13285e+11,2.08787e+12,0,3.50055e-11
1,6,-7.0789e+11,2.08789e+12,0,5.60559e-09
1,1,-5.36194e+11,2.08789e+12,0,5.60559e-09
1,2,-5.365e+11,2.08789e+12,0,5.60559e-09
1,3,-5.32935e+11,2.08789e+12,0,5.60559e-09
1,4,-5.32232e+11,2.08789e+12,0,5.60559e-09
1,5,-5.3781e+11,2.08789e+12,0,5.60559e-09
1,6,-5.32502e+11,2.08789e+12,0,5.60559e-09
1,7,-5.37691e+11,2.08789e+12,0,5.60559e-09
2,1,-8.26231e+11,2.08789e+12,0,5.60559e-09
2,1,-8.31356e+11,2.08789e+12,0,5.60559e-09
2,2,-8.29494e+11,2.08789e+12,0,5.60559e-09
2,1,-8.21849e+11,2.08789e+12,0,5.60559e-09
2,2,-8.25274e+11,2.08789e+12,0,5.60559e-09
2,3,-8.25101e+11,2.08789e+12,0,5.60559e-09
2,1,-8.17442e+11,2.08862e+12,0,4.08275e-09
2,2,-8.18891e+11,2.08765e+12,0,1.0644e-08
2,3,-8.16606e+11,2.08859e+12,0,3.86419e-09
2,4,-8.17157e+11,2.08789e+12,0,5.60559e-09
2,1,-8.17695e+11,2.08789e+12,0,5.60559e-09
2,2,-8.12007e+11,2.08789e+12,0,5.60559e-09
2,3,-8.17032e+11,2.08789e+12,0,5.60559e-09
2,4,-8.15135e+11,2.08789e+12,0,5.60559e-09
2,5,-8.11327e+11,2.08789e+12,0,5.60559e-09
2,1,-8.08785e+11,2.08789e+12,0,5.60559e-09
2,2,-8.07205e+11,2.08789e+12,0,5.60559e-09
2,3,-8.10439e+11,2.08789e+12,0,5.60559e-09
2,4,-8.12345e+11,2.08812e+12,0,5.29063e-10
2,5,-8.07104e+11,2.08789e+12,0,5.60559e-09
2,6,-8.11492e+11,2.08789e+12,0,5.60559e-09
2,1,-8.03058e+11,2.08789e+12,0,5.60559e-09
2,2,-8.0175e+11,2.08789e+12,0,5.60559e-09
2,3,-7.99055e+11,2.08789e+12,0,5.60559e-09
2,4,-8.06801e+11,2.08789e+12,0,5.60559e-09
2,5,-8.01026e+11,2.08789e+12,0,5.60559e-09
2,6,-8.01027e+11,2.08789e+12,0,5.60559e-09
2,7,-8.01542e+11,2.08789e+12,0,5.60559e-09
2,1,-3.93462e+09,2.08789e+12,0,5.60559e-09
2,2,-7.88097e+09,2.08789e+12,0,5.60559e-09
2,3,-3.03914e+09,2.08862e+12,0,4.12276e-09
2,4,-2.0225e+09,2.08789e+12,0,5.60559e-09
2,5,-1.68353e+09,2.08789e+12,0,5.60559e-09
2,6,-9.10499e+09,2.08789e+12,0,5.60559e-09
2,7,-7.76515e+09,2.08789e+12,0,5.60559e-09
2,8,-8.08898e+09,2.08789e+12,0,5.60559e-09
2,1,4.64429e+10,2.08789e+12,0,5.60559e-09
2,2,4.14052e+10,2.08789e+12,0,5.60559e-09
2,3,4.54867e+10,2.08823e+12,0,1.76286e-08
2,4,4.37789e+10,2.08767e+12,0,3.79317e-10
2,5,4.21046e+10,2.08789e+12,0,5.60559e-09
2,6,4.35693e+10,2.08789e+12,0,5.60559e-09
2,7,4.54964e+10,2.08789e+12,0,5.60559e-09
2,8,4.66451e+10,2.08789e+12,0,5.60559e-09
2,9,4.27539e+10,2.08789e+12,0,5.60559e-09
3,1,-8.2707e+11,2.08789e+12,0,5.60559e-09
3,1,-8.21087e+11,2.08789e+12,0,5.60559e-09
3,2,-8.25376e+11,2.08789e+12,0,5.60559e-09
3,1,-8.21631e+11,2.08789e+12,0,5.60559e-09
3,2,-8.15962e+11,2.08791e+12,0,5.05601e-11
3,3,-8.19634e+11,2.08789e+12,0,5.60559e-09
3,1,-8.09957e+11,2.08789e+12,0,5.60559e-09
3,2,-8.11559e+11,2.08789e+12,0,5.60559e-09
3,3,-8.09486e+11,2.08789e+12,0,5.60559e-09
3,4,-8.12899e+11,2.08789e+12,0,5.60559e-09
3,1,-7.97693e+11,2.08789e+12,0,5.60559e-09
3,2,-7.9578e+11,2.08789e+12,0,5.60559e-09
