PID,tstep,weight,x,y,z,vx,vy,vz
0,9,1,-8.24139e+11,-4.8607e+10,2.25565e+10,4.50635e+07,2.96597e+07,-4.66013e+07
0,13,1,-8.23914e+11,-4.97528e+10,2.25209e+10,5.27478e+07,4.26189e+07,-5.42437e+07
0,13,2,-8.25774e+11,-4.50952e+10,2.44277e+10,5.27478e+07,4.26189e+07,-5.42437e+07
0,18,1,-8.19741e+11,-4.64131e+10,2.07034e+10,6.50856e+07,5.51599e+07,-6.48878e+07
0,18,2,-8.18321e+11,-4.36005e+10,1.72571e+10,6.50856e+07,5.51599e+07,-6.48878e+07
0,18,3,-8.21839e+11,-4.04497e+10,2.35455e+10,6.50856e+07,5.51599e+07,-6.48878e+07
0,29,1,-8.13254e+11,-4.04218e+10,1.53581e+10,9.91683e+07,6.75372e+07,-8.94428e+07
0,29,2,-8.08592e+11,-3.36605e+10,1.07237e+10,9.91683e+07,6.75372e+07,-8.94428e+07
0,29,3,-8.152e+11,-3.76377e+10,9.78861e+09,9.91683e+07,6.75372e+07,-8.94428e+07
0,29,4,-8.14055e+11,-3.69934e+10,9.75976e+09,9.91683e+07,6.75372e+07,-8.94428e+07
0,39,1,-8.00841e+11,-3.15858e+10,2.92336e+09,1.33221e+08,6.00845e+07,-1.09245e+08
0,39,2,-8.03682e+11,-2.64504e+10,3.57505e+09,1.33221e+08,6.00845e+07,-1.09245e+08
0,39,3,-8.01843e+11,-2.93938e+10,7.02593e+08,1.33221e+08,6.00845e+07,-1.09245e+08
0,39,4,-7.97798e+11,-2.56374e+10,4.16906e+09,1.33221e+08,6.00845e+07,-1.09245e+08
0,39,5,-8.02482e+11,-3.16207e+10,-3.08826e+09,1.33221e+08,6.00845e+07,-1.09245e+08
0,50,1,-7.79328e+11,-2.13045e+10,-1.02893e+10,1.6574e+08,3.75241e+07,-1.21741e+08
0,50,2,-7.79732e+11,-2.26799e+10,-9.0237e+09,1.6574e+08,3.75241e+07,-1.21741e+08
0,50,3,-7.82673e+11,-2.44287e+10,-1.16225e+10,1.6574e+08,3.75241e+07,-1.21741e+08
0,50,4,-7.83914e+11,-2.20005e+10,-1.32082e+10,1.6574e+08,3.75241e+07,-1.21741e+08
0,50,5,-7.81726e+11,-2.2569e+10,-1.18879e+10,1.6574e+08,3.75241e+07,-1.21741e+08
0,50,6,-7.823e+11,-2.37246e+10,-8.77268e+09,1.6574e+08,3.75241e+07,-1.21741e+08
0,290,1,-4.98101e+11,-5.44343e+10,-2.02303e+11,1.97966e+08,3.45401e+07,-1.16736e+08
