PID,weight,x,y,z,vx,vy,vz
5,1,-6.62053e+11,-7.78784e+11,2.33475e+11,5.50828e+07,2.20235e+07,-2.44744e+07
5,1,-6.59918e+11,-7.76384e+11,2.30422e+11,5.56904e+07,2.10235e+07,-2.49669e+07
5,1,-6.55456e+11,-7.75172e+11,2.32828e+11,5.62737e+07,2.00005e+07,-2.54296e+07
5,1,-6.59456e+11,-7.72207e+11,2.24848e+11,5.683e+07,1.89528e+07,-2.58663e+07
5,1,-6.58699e+11,-7.78445e+11,2.25667e+11,5.73576e+07,1.78786e+07,-2.6279e+07
5,1,-6.53476e+11,-7.72175e+11,2.25609e+11,5.78561e+07,1.67773e+07,-2.66683e+07
5,1,-6.57191e+11,-7.75296e+11,2.24463e+11,5.83252e+07,1.56497e+07,-2.70332e+07
5,1,-6.51368e+11,-7.77664e+11,2.29806e+11,5.87645e+07,1.44993e+07,-2.73712e+07
5,1,-6.58169e+11,-7.76984e+11,2.23307e+11,5.91729e+07,1.33314e+07,-2.76802e+07
5,1,-6.54211e+11,-7.74134e+11,2.27514e+11,5.9549e+07,1.21521e+07,-2.79586e+07
5,1,-6.51157e+11,-7.73388e+11,2.27994e+11,5.98909e+07,1.09672e+07,-2.82063e+07
5,1,-6.49936e+11,-7.70378e+11,2.29868e+11,6.01972e+07,9.7805e+06,-2.84242e+07
5,1,-6.54855e+11,-7.69843e+11,2.2267e+11,6.04676e+07,8.59306e+06,-2.86139e+07
5,1,-6.51527e+11,-7.71807e+11,2.24571e+11,6.07032e+07,7.4032e+06,-2.87765e+07
5,1,-6.47125e+11,-7.72109e+11,2.28688e+11,6.09064e+07,6.20743e+06,-2.89121e+07
5,1,-6.51848e+11,-7.72447e+11,2.21919e+11,6.108e+07,5.00201e+06,-2.90195e+07
5,1,-6.46888e+11,-7.72119e+11,2.23411e+11,6.12268e+07,3.78448e+06,-2.90967e+07
5,1,-6.50829e+11,-7.76746e+11,2.22708e+11,6.13486e+07,2.55467e+06,-2.91416e+07
5,1,-6.50095e+11,-7.74014e+11,2.2471e+11,6.14459e+07,1.31464e+06,-2.91524e+07
5,1,-6.51863e+11,-7.75629e+11,2.22729e+11,6.1518e+07,67728.3,-2.91288e+07
5,1,-6.44938e+11,-7.71185e+11,2.27253e+11,6.15635e+07,-1.18314e+06,-2.90712e+07
5,1,-6.45111e+11,-7.76721e+11,2.25447e+11,6.15806e+07,-2.43692e+06,-2.89803e+07
5,1,-6.42316e+11,-7.70892e+11,2.23503e+11,6.15671e+07,-3.69513e+06,-2.8857e+07
5,1,-6.47024e+11,-7.74834e+11,2.19821e+11,6.15204e+07,-4.96119e+06,-2.87015e+07
5,1,-6.43748e+11,-7.74134e+11,2.2586e+11,6.14375e+07,-6.23861e+06,-2.85137e+07
5,1,-6.4788e+11,-7.76787e+11,2.18829e+11,6.1315e+07,-7.52869e+06,-2.82933e+07
5,1,-6.40046e+11,-7.75498e+11,2.21454e+11,6.11498e+07,-8.82881e+06,-2.80402e+07
5,1,-6.44691e+11,-7.71063e+11,2.20259e+11,6.09406e+07,-1.01321e+07,-2.77552e+07
5,1,-6.42654e+11,-7.7153e+11,2.25057e+11,6.06879e+07,-1.14292e+07,-2.74391e+07
5,1,-6.39612e+11,-7.77683e+11,2.24442e+11,6.03948e+07,-1.27104e+07,-2.70927e+07
5,1,-6.41851e+11,-7.76824e+11,2.21713e+11,6.0065e+07,-1.39693e+07,-2.67165e+07
5,1,-6.40993e+11,-7.73538e+11,2.20936e+11,5.97015e+07,-1.52037e+07,-2.631e+07
5,1,-6.35923e+11,-7.78222e+11,2.22278e+11,5.93054e+07,-1.64153e+07,-2.5872e+07
5,1,-6.40292e+11,-7.75539e+11,2.23349e+11,5.88753e+07,-1.76075e+07,-2.54011e+07
5,1,-6.37344e+11,-7.72388e+11,2.20828e+11,5.84094e+07,-1.87823e+07,-2.48966e+07
5,1,-6.34542e+11,-7.75658e+11,2.22196e+11,5.79065e+07,-1.99385e+07,-2.43584e+07
5,1,-6.37765e+11,-7.73089e+11,2.16874e+11,5.73677e+07,-2.10711e+07,-2.37885e+07
5,1,-6.33479e+11,-7.72095e+11,2.15575e+11,5.67955e+07,-2.21727e+07,-2.31906e+07
5,1,-6.3494e+11,-7.73441e+11,2.18479e+11,5.61922e+07,-2.32361e+07,-2.25702e+07
5,1,-6.35243e+11,-7.75774e+11,2.17661e+11,5.55581e+07,-2.42565e+07,-2.19337e+07
5,1,-6.35279e+11,-7.73558e+11,2.16978e+11,5.48905e+07,-2.52323e+07,-2.12866e+07
5,1,-6.36064e+11,-7.79515e+11,2.19612e+11,5.41848e+07,-2.6165e+07,-2.06326e+07
5,1,-6.37178e+11,-7.73422e+11,2.14779e+11,5.34377e+07,-2.70568e+07,-1.99719e+07
5,1,-5.89373e+11,-7.73336e+11,2.20415e+11,5.42731e+07,1.26734e+07,-3.07763e+07
5,1,-5.88954e+11,-7.73984e+11,2.15376e+11,5.45692e+07,1.14797e+07,-3.11042e+07
5,1,-5.88888e+11,-7.76471e+11,2.21245e+11,5.48314e+07,1.02718e+07,-3.14013e+07
5,1,-5.933e+11,-7.70779e+11,2.17007e+11,5.50632e+07,9.05247e+06,-3.1665e+07
5,1,-5.93056e+11,-7.758e+11,2.15852e+11,5.52683e+07,7.82459e+06,-3.18932e+07
